"region","year","variable","value"
"Connecticut",1999,"prey",86.73
"Connecticut",2000,"prey",56.34
"Connecticut",2001,"prey",40.92
"Connecticut",2002,"prey",20.59
"Connecticut",2003,"prey",16.3
"Connecticut",2004,"prey",10.77
"Connecticut",2005,"prey",7.75
"Connecticut",2006,"prey",5.38
"Connecticut",2007,"prey",6.52
"Georges Bank",1982,"prey",1719020
"Georges Bank",1983,"prey",1706160
"Georges Bank",1984,"prey",1776940
"Georges Bank",1985,"prey",1590990
"Georges Bank",1986,"prey",1448180
"Georges Bank",1987,"prey",1586240
"Georges Bank",1988,"prey",1938790
"Georges Bank",1989,"prey",1739180
"Georges Bank",1990,"prey",1968510
"Georges Bank",1991,"prey",1893800
"Georges Bank",1992,"prey",1654550
"Georges Bank",1993,"prey",1677740
"Georges Bank",1994,"prey",2146410
"Georges Bank",1995,"prey",1930910
"Georges Bank",1996,"prey",1801370
"Georges Bank",1997,"prey",2444130
"Georges Bank",1998,"prey",2436140
"Georges Bank",1999,"prey",1962540
"Georges Bank",2000,"prey",1977900
"Georges Bank",2001,"prey",2909700
"Georges Bank",2002,"prey",4087030
"Georges Bank",2003,"prey",5304760
"Georges Bank",2004,"prey",5636550
"Georges Bank",2005,"prey",5380300
"Georges Bank",2006,"prey",4803460
"Georges Bank",2007,"prey",3912250
"Gulf of Maine",1982,"prey",44836500
"Gulf of Maine",1983,"prey",41517200
"Gulf of Maine",1984,"prey",51399500
"Gulf of Maine",1985,"prey",50179600
"Gulf of Maine",1986,"prey",46114400
"Gulf of Maine",1987,"prey",45294400
"Gulf of Maine",1988,"prey",57193100
"Gulf of Maine",1989,"prey",64260200
"Gulf of Maine",1990,"prey",65107800
"Gulf of Maine",1991,"prey",68263600
"Gulf of Maine",1992,"prey",69596900
"Gulf of Maine",1993,"prey",74464200
"Gulf of Maine",1994,"prey",78991100
"Gulf of Maine",1995,"prey",76635600
"Gulf of Maine",1996,"prey",81057700
"Gulf of Maine",1997,"prey",89494300
"Gulf of Maine",1998,"prey",96286700
"Gulf of Maine",1999,"prey",109212800
"Gulf of Maine",2000,"prey",102545700
"Gulf of Maine",2001,"prey",102345400
"Gulf of Maine",2002,"prey",108770600
"Gulf of Maine",2003,"prey",113596300
"Gulf of Maine",2004,"prey",125266400
"Gulf of Maine",2005,"prey",126312600
"Gulf of Maine",2006,"prey",114620600
"Gulf of Maine",2007,"prey",107296800
"Massachusetts",1986,"prey",12.36
"Massachusetts",1987,"prey",2.6
"Massachusetts",1988,"prey",12.16
"Massachusetts",1989,"prey",17.24
"Massachusetts",1990,"prey",68.99
"Massachusetts",1991,"prey",28.49
"Massachusetts",1992,"prey",21.61
"Massachusetts",1993,"prey",9.48
"Massachusetts",1994,"prey",45.44
"Massachusetts",1995,"prey",38.61
"Massachusetts",1996,"prey",43.2
"Massachusetts",1997,"prey",15.38
"Massachusetts",1998,"prey",23.28
"Massachusetts",1999,"prey",24.26
"Massachusetts",2000,"prey",29.9
"Massachusetts",2001,"prey",4.07
"Massachusetts",2002,"prey",26.08
"Massachusetts",2003,"prey",1.62
"Massachusetts",2004,"prey",4.2
"Massachusetts",2005,"prey",10.88
"Massachusetts",2006,"prey",25.82
"Massachusetts",2007,"prey",5.79
"Newfoundland",1984,"prey",675.20068
"Newfoundland",1985,"prey",710.25299
"Newfoundland",1986,"prey",671.0752
"Newfoundland",1987,"prey",597.93933
"Newfoundland",1988,"prey",676.13629
"Newfoundland",1989,"prey",721.29337
"Newfoundland",1990,"prey",663.46341
"Newfoundland",1991,"prey",845.94315
"Newfoundland",1992,"prey",931.16901
"Newfoundland",1993,"prey",823.95395
"Newfoundland",1994,"prey",778.07169
"Newfoundland",1995,"prey",770.74942
"Nova Scotia",1978,"prey",4505
"Nova Scotia",1979,"prey",5254
"Nova Scotia",1980,"prey",5059
"Nova Scotia",1981,"prey",5556
"Nova Scotia",1982,"prey",6363
"Nova Scotia",1983,"prey",7758
"Nova Scotia",1984,"prey",8876
"Nova Scotia",1985,"prey",10679
"Nova Scotia",1986,"prey",13284
"Nova Scotia",1987,"prey",15087
"Nova Scotia",1988,"prey",15953
"Nova Scotia",1989,"prey",15959
"Nova Scotia",1990,"prey",17177
"Nova Scotia",1991,"prey",19029.944
"Nova Scotia",1992,"prey",15497.22
"Nova Scotia",1993,"prey",14871.017
"Nova Scotia",1994,"prey",16258.331
"Nova Scotia",1995,"prey",15185.684
"Nova Scotia",1996,"prey",15881
"Nova Scotia",1997,"prey",16304
"Nova Scotia",1998,"prey",18486
"Nova Scotia",1999,"prey",19819
"Nova Scotia",2000,"prey",20657
"Nova Scotia",2001,"prey",24468
"Nova Scotia",2002,"prey",27537
"Nova Scotia",2003,"prey",25966
"Rhode Island",1987,"prey",5.14
"Rhode Island",1988,"prey",8.095
"Rhode Island",1989,"prey",8.34
"Rhode Island",1990,"prey",5.445
"Rhode Island",1991,"prey",12.84
"Rhode Island",1992,"prey",5.805
"Rhode Island",1993,"prey",15.08
"Rhode Island",1994,"prey",9.2
"Rhode Island",1995,"prey",9.125
"Rhode Island",1996,"prey",12.23
"Rhode Island",1997,"prey",16.275
"Rhode Island",1998,"prey",7.835
"Rhode Island",1999,"prey",5.96
"Rhode Island",2000,"prey",4.32
"Rhode Island",2001,"prey",8.305
"Rhode Island",2002,"prey",5.745
"Rhode Island",2003,"prey",2.4
"Rhode Island",2004,"prey",3.665
"Rhode Island",2005,"prey",6.965
"Rhode Island",2006,"prey",8.46
"s Gulf St Lawrence",1984,"prey",13916.6
"s Gulf St Lawrence",1985,"prey",15934.6
"s Gulf St Lawrence",1986,"prey",18274.8
"s Gulf St Lawrence",1987,"prey",19301.6
"s Gulf St Lawrence",1988,"prey",20192.7
"s Gulf St Lawrence",1989,"prey",21556
"s Gulf St Lawrence",1990,"prey",22226.7
"s Gulf St Lawrence",1991,"prey",21575.9
"s Gulf St Lawrence",1992,"prey",19566.8
"s Gulf St Lawrence",1993,"prey",19727.7
"s Gulf St Lawrence",1994,"prey",18217.7
"s Gulf St Lawrence",1995,"prey",18352
"s Gulf St Lawrence",1996,"prey",17612.4
"s Gulf St Lawrence",1997,"prey",16901.6
"s Gulf St Lawrence",1998,"prey",18044.1
"s Gulf St Lawrence",1999,"prey",17427.7
"s Gulf St Lawrence",2000,"prey",17790.1
"s Gulf St Lawrence",2001,"prey",17677.8
"s Gulf St Lawrence",2002,"prey",17745.4
"s Gulf St Lawrence",2003,"prey",17021.8
"s Gulf St Lawrence",2004,"prey",16375.4
"s Gulf St Lawrence",2005,"prey",15589.8
"s Gulf St Lawrence",2006,"prey",17279.3
"s Gulf St Lawrence",2007,"prey",16896.4
"s New England",1982,"prey",11151510
"s New England",1983,"prey",11301070
"s New England",1984,"prey",14602030
"s New England",1985,"prey",18295960
"s New England",1986,"prey",18499450
"s New England",1987,"prey",20602600
"s New England",1988,"prey",22543040
"s New England",1989,"prey",25224210
"s New England",1990,"prey",27833300
"s New England",1991,"prey",25521280
"s New England",1992,"prey",23353590
"s New England",1993,"prey",26307100
"s New England",1994,"prey",31483100
"s New England",1995,"prey",34811200
"s New England",1996,"prey",36578200
"s New England",1997,"prey",36713200
"s New England",1998,"prey",35826500
"s New England",1999,"prey",33378300
"s New England",2000,"prey",27243130
"s New England",2001,"prey",21005940
"s New England",2002,"prey",16552630
"s New England",2003,"prey",12832540
"s New England",2004,"prey",13860130
"s New England",2005,"prey",15315410
"s New England",2006,"prey",14467660
"s New England",2007,"prey",14247040
"Connecticut",1999,"environment.lag00",14
"Connecticut",2000,"environment.lag00",14.3
"Connecticut",2001,"environment.lag00",14.815
"Connecticut",2002,"environment.lag00",15.15
"Connecticut",2003,"environment.lag00",14.09
"Connecticut",2004,"environment.lag00",14.16
"Connecticut",2005,"environment.lag00",14.215
"Connecticut",2006,"environment.lag00",15.535
"Connecticut",2007,"environment.lag00",14.525
"Georges Bank",1982,"environment.lag00",10.836811
"Georges Bank",1983,"environment.lag00",9.290978
"Georges Bank",1984,"environment.lag00",10.490144
"Georges Bank",1985,"environment.lag00",9.495144
"Georges Bank",1986,"environment.lag00",9.381811
"Georges Bank",1987,"environment.lag00",8.630144
"Georges Bank",1988,"environment.lag00",10.423478
"Georges Bank",1989,"environment.lag00",7.115144
"Georges Bank",1990,"environment.lag00",8.407644
"Georges Bank",1991,"environment.lag00",8.746809
"Georges Bank",1992,"environment.lag00",8.967644
"Georges Bank",1993,"environment.lag00",9.295978
"Georges Bank",1994,"environment.lag00",9.632638
"Georges Bank",1995,"environment.lag00",9.626811
"Georges Bank",1996,"environment.lag00",8.440144
"Georges Bank",1997,"environment.lag00",9.433453
"Georges Bank",1998,"environment.lag00",7.905978
"Georges Bank",1999,"environment.lag00",10.317644
"Georges Bank",2000,"environment.lag00",9.707089
"Georges Bank",2001,"environment.lag00",9.219816
"Georges Bank",2002,"environment.lag00",10.446811
"Georges Bank",2003,"environment.lag00",9.070978
"Georges Bank",2004,"environment.lag00",8.853478
"Georges Bank",2005,"environment.lag00",9.023478
"Georges Bank",2006,"environment.lag00",9.819311
"Georges Bank",2007,"environment.lag00",9.290978
"Gulf of Maine",1982,"environment.lag00",8.482866
"Gulf of Maine",1983,"environment.lag00",8.362033
"Gulf of Maine",1984,"environment.lag00",8.527033
"Gulf of Maine",1985,"environment.lag00",8.737033
"Gulf of Maine",1986,"environment.lag00",8.773922
"Gulf of Maine",1987,"environment.lag00",7.602033
"Gulf of Maine",1988,"environment.lag00",7.667033
"Gulf of Maine",1989,"environment.lag00",8.185366
"Gulf of Maine",1990,"environment.lag00",8.174533
"Gulf of Maine",1991,"environment.lag00",8.672033
"Gulf of Maine",1992,"environment.lag00",7.2337
"Gulf of Maine",1993,"environment.lag00",7.649533
"Gulf of Maine",1994,"environment.lag00",8.395366
"Gulf of Maine",1995,"environment.lag00",8.194533
"Gulf of Maine",1996,"environment.lag00",7.4112
"Gulf of Maine",1997,"environment.lag00",7.789577
"Gulf of Maine",1998,"environment.lag00",7.602866
"Gulf of Maine",1999,"environment.lag00",8.3937
"Gulf of Maine",2000,"environment.lag00",9.326541
"Gulf of Maine",2001,"environment.lag00",8.3337
"Gulf of Maine",2002,"environment.lag00",8.811842
"Gulf of Maine",2003,"environment.lag00",7.908668
"Gulf of Maine",2004,"environment.lag00",7.359533
"Gulf of Maine",2005,"environment.lag00",7.445366
"Gulf of Maine",2006,"environment.lag00",8.622033
"Gulf of Maine",2007,"environment.lag00",7.8687
"Massachusetts",1986,"environment.lag00",12.181402
"Massachusetts",1987,"environment.lag00",10.7552505
"Massachusetts",1988,"environment.lag00",11.275286
"Massachusetts",1989,"environment.lag00",12.0072485
"Massachusetts",1990,"environment.lag00",11.9066305
"Massachusetts",1991,"environment.lag00",12.3728215
"Massachusetts",1992,"environment.lag00",10.913906
"Massachusetts",1993,"environment.lag00",11.383308
"Massachusetts",1994,"environment.lag00",11.6318325
"Massachusetts",1995,"environment.lag00",12.235662
"Massachusetts",1996,"environment.lag00",10.3761845
"Massachusetts",1997,"environment.lag00",11.754993
"Massachusetts",1998,"environment.lag00",11.2965185
"Massachusetts",1999,"environment.lag00",12.4864145
"Massachusetts",2000,"environment.lag00",12.32468
"Massachusetts",2001,"environment.lag00",12.278352
"Massachusetts",2002,"environment.lag00",12.2686755
"Massachusetts",2003,"environment.lag00",11.2515165
"Massachusetts",2004,"environment.lag00",10.379969
"Massachusetts",2005,"environment.lag00",10.576734
"Massachusetts",2006,"environment.lag00",11.78361
"Massachusetts",2007,"environment.lag00",11.2779555
"Newfoundland",1984,"environment.lag00",5.555592
"Newfoundland",1985,"environment.lag00",4.731395
"Newfoundland",1986,"environment.lag00",4.985387
"Newfoundland",1987,"environment.lag00",5.046112
"Newfoundland",1988,"environment.lag00",5.035768
"Newfoundland",1989,"environment.lag00",3.759256
"Newfoundland",1990,"environment.lag00",3.589135
"Newfoundland",1991,"environment.lag00",4.085074
